shift_app,shift_dis,chi2_sm_total,chi2_geo_total,delta_total,pos_channels,lock_ok,delta_T2K_app_FHC,delta_T2K_app_RHC,delta_T2K_dis_FHC,delta_T2K_dis_RHC
0,-6,2895.2799898097123,2894.485012465753,0.7949773439595447,2,False,0.6527932640918692,0.2591903961456907,-0.06162698721664128,-0.055379329061452154
0,-7,2959.5677338552787,2958.788729913216,0.7790039420629,2,False,0.6527932640918692,0.2591903961456907,-0.07083860512466345,-0.06214111304984726
0,-8,3037.443594892461,3036.6786527202044,0.764942172256724,2,False,0.6527932640918692,0.2591903961456907,-0.0786742305158441,-0.06836725746524053
-1,-2,3194.837090871403,3194.8266460366576,0.010444834745158005,1,False,0.15319023936513076,-0.08528320298603376,-0.03585742703194228,-0.021604774601421184
-1,-1,3211.791664371727,3211.7247689105766,0.06689546115057965,2,False,0.15319023936513076,-0.08528320298603376,0.03879250536101608,-0.039804080589263435
-4,-2,3347.166552028573,3346.334819365258,0.8317326633145967,2,False,0.772932778574841,0.1162620863731263,-0.03585742703194228,-0.021604774601421184
-1,-3,3349.1329263270873,3349.1450269656852,-0.01210063859798538,1,False,0.15319023936513076,-0.08528320298603376,-0.03356825135801955,-0.046439423619233366
-1,-4,3475.026358407649,3475.0518231704136,-0.025464762764840998,1,False,0.15319023936513076,-0.08528320298603376,-0.05596348439416943,-0.03740831474959805
-4,-3,3501.4623874842573,3500.6532002942863,0.8091871899709986,2,False,0.772932778574841,0.1162620863731263,-0.03356825135801955,-0.046439423619233366
0,-9,3625.0505078342835,3624.2812756985045,0.7692321357790206,2,False,0.6527932640918692,0.2591903961456907,-0.07590807541009781,-0.06684344904857653
-4,-4,3627.355819564819,3626.559996499015,0.7958230658036882,2,False,0.772932778574841,0.1162620863731263,-0.05596348439416943,-0.03740831474959805
-2,-2,3707.910092797517,3707.7800989131865,0.12999388433036074,1,False,0.4500657296164263,-0.26260964365224027,-0.03585742703194228,-0.021604774601421184
-2,-1,3724.8646662978413,3724.6782217871055,0.1864445107357824,2,False,0.4500657296164263,-0.26260964365224027,0.03879250536101608,-0.039804080589263435
-3,0,3816.8637893952396,3817.0902384629303,-0.22644906769073714,1,False,-0.007785076448726613,-0.2062319354452029,-0.027561886172904337,0.015129830376530151
-2,-3,3862.205928253201,3862.098479842214,0.10744841098676261,1,False,0.4500657296164263,-0.26260964365224027,-0.03356825135801955,-0.046439423619233366
-1,1,3869.9043608510115,3869.767518688389,0.13684216262254267,3,False,0.15319023936513076,-0.08528320298603376,0.029049558099359274,0.03988556814408639
-2,-4,3988.099360333763,3988.0052760469425,0.09408428682036174,1,False,0.4500657296164263,-0.26260964365224027,-0.05596348439416943,-0.03740831474959805
-5,0,4129.268085163102,4129.1391939897185,0.12889117338363576,2,False,0.22499759175025247,-0.08367436257049121,-0.027561886172904337,0.015129830376530151
0,-10,4137.19417312429,4136.417000119516,0.7771730047734309,2,False,0.6527932640918692,0.2591903961456907,-0.07497374051126826,-0.059836914953393716
-6,0,4289.406573268914,4289.145968096879,0.2606051720349569,2,False,0.33962687026496496,-0.06658964243410992,-0.027561886172904337,0.015129830376530151
-1,2,4290.553227249247,4290.436650100412,0.11657714883494918,3,False,0.15319023936513076,-0.08528320298603376,0.01813847976472971,0.03053163269134984
2,-2,4360.295945395562,4359.335433475618,0.9605119199441106,2,False,0.8907638572184169,0.12721026435883687,-0.03585742703194228,-0.021604774601421184
