galaxy,n_points,v_flat_kms,env_scale,file
F567-2_rotmod,5,44.31999999999999,2.1825137777777774,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\F567-2_rotmod.dat
F568-1_rotmod,12,131.2,19.126044444444442,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\F568-1_rotmod.dat
F568-3_rotmod,18,108.5,13.080277777777779,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\F568-3_rotmod.dat
F568-V1_rotmod,15,113.0,14.187777777777777,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\F568-V1_rotmod.dat
F571-8_rotmod,13,131.8,19.30137777777778,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\F571-8_rotmod.dat
F571-V1_rotmod,7,79.72,7.061420444444445,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\F571-V1_rotmod.dat
F574-1_rotmod,14,98.41999999999999,10.762773777777776,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\F574-1_rotmod.dat
F574-2_rotmod,5,28.32,0.8911360000000002,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\F574-2_rotmod.dat
F579-V1_rotmod,14,113.4,14.288400000000001,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\F579-V1_rotmod.dat
F583-1_rotmod,25,82.96000000000001,7.647068444444445,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\F583-1_rotmod.dat
F583-4_rotmod,12,65.16,4.717583999999999,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\F583-4_rotmod.dat
IC2574_rotmod,34,65.35999999999999,4.746588444444442,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\IC2574_rotmod.dat
IC4202_rotmod,32,241.8,64.96360000000001,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\IC4202_rotmod.dat
KK98-251_rotmod,15,33.0,1.2100000000000002,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\KK98-251_rotmod.dat
NGC0024_rotmod,29,107.2,12.768711111111111,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC0024_rotmod.dat
NGC0055_rotmod,21,86.32000000000001,8.279047111111112,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC0055_rotmod.dat
NGC0100_rotmod,21,88.84,8.769495111111112,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC0100_rotmod.dat
NGC0247_rotmod,26,106.2,12.531600000000001,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC0247_rotmod.dat
NGC0289_rotmod,28,163.0,29.521111111111114,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC0289_rotmod.dat
NGC0300_rotmod,25,93.96000000000001,9.809424,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC0300_rotmod.dat
NGC0801_rotmod,13,217.4,52.51417777777778,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC0801_rotmod.dat
NGC0891_rotmod,18,213.8,50.78937777777778,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC0891_rotmod.dat
NGC1003_rotmod,36,113.4,14.288400000000001,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC1003_rotmod.dat
NGC1090_rotmod,24,161.8,29.088044444444446,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC1090_rotmod.dat
NGC1705_rotmod,14,71.52000000000001,5.683456000000001,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC1705_rotmod.dat
NGC2366_rotmod,26,49.46,2.718101777777778,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC2366_rotmod.dat
NGC2403_rotmod,73,134.4,20.070400000000003,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC2403_rotmod.dat
NGC2683_rotmod,11,157.0,27.387777777777778,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC2683_rotmod.dat
NGC2841_rotmod,50,288.2,92.28804444444442,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC2841_rotmod.dat
NGC2903_rotmod,34,179.6,35.840177777777775,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC2903_rotmod.dat
NGC2915_rotmod,30,84.91999999999999,8.012673777777776,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC2915_rotmod.dat
NGC2955_rotmod,24,250.6,69.77817777777778,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC2955_rotmod.dat
NGC2976_rotmod,27,84.28,7.892353777777778,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC2976_rotmod.dat
NGC2998_rotmod,13,211.2,49.5616,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC2998_rotmod.dat
NGC3109_rotmod,25,66.16,4.863495111111111,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC3109_rotmod.dat
NGC3198_rotmod,43,149.2,24.73404444444444,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC3198_rotmod.dat
NGC3521_rotmod,41,207.6,47.8864,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC3521_rotmod.dat
NGC3726_rotmod,12,161.6,29.016177777777777,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC3726_rotmod.dat
NGC3741_rotmod,21,50.08,2.7866737777777777,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC3741_rotmod.dat
NGC3769_rotmod,12,117.8,15.418711111111111,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC3769_rotmod.dat
NGC3877_rotmod,13,170.0,32.111111111111114,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC3877_rotmod.dat
NGC3893_rotmod,10,179.4,35.760400000000004,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC3893_rotmod.dat
NGC3917_rotmod,17,137.2,20.915377777777778,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC3917_rotmod.dat
NGC3949_rotmod,7,160.8,28.729600000000005,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC3949_rotmod.dat
NGC3953_rotmod,8,221.8,54.66137777777778,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC3953_rotmod.dat
NGC3972_rotmod,10,127.4,18.03417777777778,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC3972_rotmod.dat
NGC3992_rotmod,9,245.6,67.0215111111111,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC3992_rotmod.dat
NGC4010_rotmod,12,125.8,17.584044444444444,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC4010_rotmod.dat
NGC4013_rotmod,36,176.4,34.5744,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC4013_rotmod.dat
