target_label,target_mz,g_bin,g_center,baseline,compare,delta_p_success_occ,delta_x_occ_mean,delta_gate_occ_factor_mean
T06,874.45,4,0.1433452856737396,ModeA_points,ModeB_holdout_points,-0.0003046238563735315,0.003046238563734205,-0.0003046238563735315
T06,874.45,4,0.1433452856737396,ModeA_points,ModeB_points,0.0003955925953958994,-0.003955925953958328,0.0003955925953958994
T06,874.45,5,0.15505379616858325,ModeA_points,ModeB_holdout_points,0.0005427862830322816,-0.005427862830322594,0.0005427862830322816
T06,874.45,5,0.15505379616858325,ModeA_points,ModeB_points,0.001711105645271771,-0.01711105645271771,0.001711105645271771
T06,874.45,6,0.1638264940524748,ModeA_points,ModeB_holdout_points,0.00524737913163098,-0.052473791316309026,0.00524737913163098
T06,874.45,6,0.1638264940524748,ModeA_points,ModeB_points,-0.0038156018809455405,0.038156018809456516,-0.0038156018809455405
T06,874.45,7,0.5833256353611115,ModeA_points,ModeB_holdout_points,-0.001142252448487091,0.0114225244848708,-0.001142252448487091
T06,874.45,7,0.5833256353611115,ModeA_points,ModeB_points,-0.0015931221622935698,0.01593122162293692,-0.0015931221622935698
T07,874.37,0,0.007800019239069041,ModeA_points,ModeB_holdout_points,0.0007578500696917567,-0.007578500696916013,0.0007578500696917567
T07,874.37,0,0.007800019239069041,ModeA_points,ModeB_points,0.004295088081011311,-0.04295088081011178,0.004295088081011311
T07,874.37,1,0.04253153085226858,ModeA_points,ModeB_holdout_points,-0.0037537558365259294,0.037537558365258794,-0.0037537558365259294
T07,874.37,1,0.04253153085226858,ModeA_points,ModeB_points,-0.008602760468326198,0.0860276046832617,-0.008602760468326198
T07,874.37,2,0.09328068535620852,ModeA_points,ModeB_holdout_points,0.0013292409675607075,-0.013292409675609851,0.0013292409675607075
T07,874.37,2,0.09328068535620852,ModeA_points,ModeB_points,0.004678692733722012,-0.046786927337223505,0.004678692733722012
T07,874.37,3,0.1223787469724177,ModeA_points,ModeB_holdout_points,-0.003903079913303964,0.039030799133040195,-0.003903079913303964
T07,874.37,3,0.1223787469724177,ModeA_points,ModeB_points,0.0002102635562771793,-0.002102635562771571,0.0002102635562771793
T07,874.37,4,0.13907603920835165,ModeA_points,ModeB_holdout_points,0.0010179192264331283,-0.010179192264332282,0.0010179192264331283
T07,874.37,4,0.13907603920835165,ModeA_points,ModeB_points,-0.003063435401918446,0.030634354019187682,-0.003063435401918446
T07,874.37,5,0.15188571675223073,ModeA_points,ModeB_holdout_points,0.0013732049114032474,-0.013732049114031586,0.0013732049114032474
T07,874.37,5,0.15188571675223073,ModeA_points,ModeB_points,-0.002107527898496886,0.021075278984969248,-0.002107527898496886
T07,874.37,6,0.16119910602124093,ModeA_points,ModeB_holdout_points,-0.0012365173169635035,0.012365173169635035,-0.0012365173169635035
T07,874.37,6,0.16119910602124093,ModeA_points,ModeB_points,0.004482490922562143,-0.044824909225620546,0.004482490922562143
T07,874.37,7,0.582389834747821,ModeA_points,ModeB_holdout_points,-0.001742001545875116,0.017420015458753046,-0.001742001545875116
T07,874.37,7,0.582389834747821,ModeA_points,ModeB_points,-0.004832076264336349,0.048320762643361936,-0.004832076264336349
T08,816.28,0,0.004212829600384455,ModeA_points,ModeB_holdout_points,-0.002998734636066258,0.029987346360662803,-0.002998734636066258
T08,816.28,0,0.004212829600384455,ModeA_points,ModeB_points,0.0006563287413390295,-0.006563287413390573,0.0006563287413390295
T08,816.28,1,0.024119863567750238,ModeA_points,ModeB_holdout_points,-0.008180855332534542,0.08180855332534515,-0.008180855332534542
T08,816.28,1,0.024119863567750238,ModeA_points,ModeB_points,-0.01588711431929346,0.15887114319293427,-0.01588711431929346
T08,816.28,2,0.07330655207818614,ModeA_points,ModeB_holdout_points,-0.0033382851810359604,0.03338285181036049,-0.0033382851810359604
T08,816.28,2,0.07330655207818614,ModeA_points,ModeB_points,-0.0016713188890116193,0.016713188890115305,-0.0016713188890116193
T08,816.28,3,0.11566348751291863,ModeA_points,ModeB_holdout_points,-0.0016910190110840384,0.016910190110839163,-0.0016910190110840384
T08,816.28,3,0.11566348751291863,ModeA_points,ModeB_points,-0.0040410186142046944,0.04041018614204783,-0.0040410186142046944
T08,816.28,4,0.13656168625539145,ModeA_points,ModeB_holdout_points,-0.0020470156024154917,0.020470156024155584,-0.0020470156024154917
T08,816.28,4,0.13656168625539145,ModeA_points,ModeB_points,-0.0009672690575539544,0.009672690575540877,-0.0009672690575539544
T08,816.28,5,0.15188571675223073,ModeA_points,ModeB_holdout_points,-0.0008596036441449462,0.008596036441449684,-0.0008596036441449462
T08,816.28,5,0.15188571675223073,ModeA_points,ModeB_points,0.002007865971407896,-0.020078659714078628,0.002007865971407896
T08,816.28,6,0.16119910602124093,ModeA_points,ModeB_holdout_points,-0.0007008017891360074,0.00700801789135963,-0.0007008017891360074
T08,816.28,6,0.16119910602124093,ModeA_points,ModeB_points,-0.0014065013031943074,0.014065013031941742,-0.0014065013031943074
T08,816.28,7,0.582389834747821,ModeA_points,ModeB_holdout_points,0.0002469619313487659,-0.0024696193134872146,0.0002469619313487659
T08,816.28,7,0.582389834747821,ModeA_points,ModeB_points,0.000550278965201878,-0.005502789652019002,0.000550278965201878
T09,816.15,0,0.007314916773224121,ModeA_points,ModeB_holdout_points,-0.008394772899384284,0.08394772899384462,-0.008394772899384284
T09,816.15,0,0.007314916773224121,ModeA_points,ModeB_points,-0.0027343219894429005,0.02734321989442967,-0.0027343219894429005
T09,816.15,1,0.0389192654904261,ModeA_points,ModeB_holdout_points,-0.0094346132363331,0.09434613236333278,-0.0094346132363331
T09,816.15,1,0.0389192654904261,ModeA_points,ModeB_points,-0.0003118007207387752,0.0031180072073888065,-0.0003118007207387752
T09,816.15,2,0.0883065051966464,ModeA_points,ModeB_holdout_points,-0.001747096863282227,0.01747096863282238,-0.001747096863282227
T09,816.15,2,0.0883065051966464,ModeA_points,ModeB_points,0.002923642158466744,-0.02923642158466777,0.002923642158466744
T09,816.15,3,0.1223787469724177,ModeA_points,ModeB_holdout_points,-0.005346374232302997,0.05346374232302864,-0.005346374232302997
T09,816.15,3,0.1223787469724177,ModeA_points,ModeB_points,-0.002624523247137578,0.026245232471376,-0.002624523247137578
T09,816.15,4,0.13907603920835165,ModeA_points,ModeB_holdout_points,-0.0008987766672901021,0.008987766672900688,-0.0008987766672901021
T09,816.15,4,0.13907603920835165,ModeA_points,ModeB_points,-0.0015485626721138956,0.015485626721139845,-0.0015485626721138956
T09,816.15,5,0.15300879662679445,ModeA_points,ModeB_holdout_points,0.0016174399254131888,-0.01617439925413222,0.0016174399254131888
T09,816.15,5,0.15300879662679445,ModeA_points,ModeB_points,-0.0018581460149711404,0.018581460149711404,-0.0018581460149711404
T09,816.15,6,0.16314848090876138,ModeA_points,ModeB_holdout_points,-0.004517575523767525,0.045175755237676474,-0.004517575523767525
T09,816.15,6,0.16314848090876138,ModeA_points,ModeB_points,0.0004873686793881449,-0.0048736867938803385,0.0004873686793881449
T09,816.15,7,0.5832219801313613,ModeA_points,ModeB_holdout_points,-0.00038480318632028165,0.0038480318632019284,-0.00038480318632028165
T09,816.15,7,0.5832219801313613,ModeA_points,ModeB_points,-0.0022473271261014283,0.02247327126101384,-0.0022473271261014283
T10,1359.91,0,0.00958841044401745,ModeA_points,ModeB_holdout_points,-0.0001476283421441016,0.001476283421441904,-0.0001476283421441016
T10,1359.91,0,0.00958841044401745,ModeA_points,ModeB_points,-0.0021951812300122775,0.02195181230012333,-0.0021951812300122775
T10,1359.91,1,0.061906395565501815,ModeA_points,ModeB_holdout_points,-0.0017127314712928055,0.017127314712928277,-0.0017127314712928055
T10,1359.91,1,0.061906395565501815,ModeA_points,ModeB_points,0.001444124198754837,-0.014441241987545372,0.001444124198754837
T10,1359.91,2,0.10967620791730245,ModeA_points,ModeB_holdout_points,0.011636242018007836,-0.11636242018007803,0.011636242018007836
T10,1359.91,2,0.10967620791730245,ModeA_points,ModeB_points,0.008182808477248726,-0.08182808477248793,0.008182808477248726
T10,1359.91,3,0.12831553804951867,ModeA_points,ModeB_holdout_points,0.0032131672016667556,-0.032131672016669555,0.0032131672016667556
T10,1359.91,3,0.12831553804951867,ModeA_points,ModeB_points,0.002081960101700031,-0.020819601017000755,0.002081960101700031
T10,1359.91,4,0.1433452856737396,ModeA_points,ModeB_holdout_points,-0.004822584708266686,0.048225847082667084,-0.004822584708266686
T10,1359.91,4,0.1433452856737396,ModeA_points,ModeB_points,-0.00013113881132065242,0.00131138811320608,-0.00013113881132065242
T10,1359.91,5,0.15505379616858325,ModeA_points,ModeB_holdout_points,-0.0023164943163791474,0.023164943163791696,-0.0023164943163791474
T10,1359.91,5,0.15505379616858325,ModeA_points,ModeB_points,-0.0027769396962474824,0.027769396962474824,-0.0027769396962474824
T10,1359.91,6,0.1638264940524748,ModeA_points,ModeB_holdout_points,0.00223520695089674,-0.022352069508967953,0.00223520695089674
