galaxy,r_kpc,v_obs_kms,e_v_kms,v_gas_kms,v_disk_kms,v_bul_kms,ups_disk,ups_bulge,v_bar_kms,g_obs_mps2,g_bar_mps2,sigma_log10_gobs,env_scale
NGC3521_rotmod,11.07,210.0,10.7,43.44,188.05,0.0,0.5,0.7,139.8872218967837,1.2910421559575112e-10,5.728724335024514e-11,0.0442566757749028,47.8864
NGC3521_rotmod,13.32,206.0,6.25,45.95,172.02,0.0,0.5,0.7,130.02631541345775,1.0324752997512092e-10,4.1134643897938175e-11,0.026352820503838095,47.8864
NGC3521_rotmod,15.49,206.0,6.25,45.39,159.31,0.0,0.5,0.7,121.44994915602065,8.87835441748619e-11,3.08597719015864e-11,0.026352820503838095,47.8864
NGC3521_rotmod,17.74,206.0,10.7,42.23,147.38,0.0,0.5,0.7,112.4446757298895,7.752294809856882e-11,2.3097960376466203e-11,0.04511602870257081,47.8864
NGC3726_rotmod,3.5,102.0,7.0,0.0,138.23,0.0,0.5,0.7,97.74337036341646,9.633447922108335e-11,8.846185270670974e-11,0.059609046535740444,29.016177777777777
NGC3726_rotmod,5.24,125.0,6.1,0.0,163.99,0.0,0.5,0.7,115.95844104678193,9.663583281978665e-11,8.316161291689331e-11,0.042387141433757373,29.016177777777777
NGC3726_rotmod,6.98,145.0,4.9,8.76,177.95,0.0,0.5,0.7,126.13420967366466,9.761802945640082e-11,7.386859060670107e-11,0.02935231670794392,29.016177777777777
NGC3726_rotmod,8.72,164.0,3.9,23.82,182.72,0.0,0.5,0.7,131.37995128633594,9.995871533130234e-11,6.414918791142928e-11,0.02065546926125222,29.016177777777777
NGC3726_rotmod,10.47,162.0,4.8,31.14,173.68,0.0,0.5,0.7,126.69676712529014,8.123305794859399e-11,4.968597765170452e-11,0.025735969297970476,29.016177777777777
NGC3726_rotmod,12.19,160.0,4.8,37.29,166.41,0.0,0.5,0.7,123.43698047991938,6.805902363394237e-11,4.050758276968202e-11,0.026057668914195108,29.016177777777777
NGC3726_rotmod,13.94,156.0,4.8,46.45,159.41,0.0,0.5,0.7,121.91544836484013,5.6576474022896754e-11,3.4554464056279086e-11,0.026725814270969338,29.016177777777777
NGC3726_rotmod,16.03,146.0,4.85,53.13,148.01,0.0,0.5,0.7,117.3723858068839,4.309447993374678e-11,2.78514491735557e-11,0.02885381146891467,29.016177777777777
NGC3726_rotmod,22.3,158.0,4.9,48.17,124.21,0.0,0.5,0.7,100.17190698993406,3.6279288870712613e-11,1.4582650757190022e-11,0.026937252675011823,29.016177777777777
NGC3726_rotmod,27.52,168.0,10.6,42.67,109.5,0.0,0.5,0.7,88.40731813600048,3.323682945685965e-11,9.204017968184219e-12,0.05480382747826749,29.016177777777777
NGC3726_rotmod,30.08,169.0,10.6,40.52,103.96,0.0,0.5,0.7,83.93873480104402,3.0771242448743525e-11,7.590955763419615e-12,0.05447954447543749,29.016177777777777
NGC3726_rotmod,32.52,167.0,15.2,39.01,99.53,0.0,0.5,0.7,80.46670460507252,2.7792771710736128e-11,6.4525495682223334e-12,0.07905719910095121,29.016177777777777
NGC3741_rotmod,0.23,13.1,2.19,2.45,11.6,0.0,0.5,0.7,8.560519844028166,2.4180440602675978e-11,1.0325756881682901e-11,0.14520685730811014,2.7866737777777777
NGC3741_rotmod,0.47,17.3,2.39,4.75,13.88,0.0,0.5,0.7,10.903655350385943,2.0636868798676683e-11,8.197771861452209e-12,0.11999581638714125,2.7866737777777777
NGC3741_rotmod,0.7,23.6,2.21,6.71,13.02,0.0,0.5,0.7,11.392291253299312,2.5785491900699056e-11,6.00860387907192e-12,0.08133820381408359,2.7866737777777777
NGC3741_rotmod,0.93,26.2,2.21,7.8,11.93,0.0,0.5,0.7,11.48923191514559,2.3920435865012793e-11,4.599901141031348e-12,0.07326647366459439,2.7866737777777777
NGC3741_rotmod,1.17,27.4,2.24,8.39,10.78,0.0,0.5,0.7,11.335620847576017,2.0795277430284203e-11,3.559214938548975e-12,0.07100873280753899,2.7866737777777777
NGC3741_rotmod,1.4,26.9,2.23,8.84,9.72,0.0,0.5,0.7,11.197535443123188,1.6750430725963125e-11,2.902460450365171e-12,0.07200570220403357,2.7866737777777777
NGC3741_rotmod,1.64,27.4,2.21,9.23,8.89,0.0,0.5,0.7,11.167316150266366,1.4835655239897877e-11,2.4643547705387375e-12,0.0700577229931523,2.7866737777777777
